,genre_id,name
0,16,Animation
1,35,Comedy
2,10751,Family
3,12,Adventure
4,14,Fantasy
5,10749,Romance
6,18,Drama
7,28,Action
8,80,Crime
9,53,Thriller
10,27,Horror
11,36,History
12,878,Science Fiction
13,9648,Mystery
14,10752,War
15,10769,Foreign
16,10402,Music
17,99,Documentary
18,37,Western
19,10770,TV Movie
20,11176,Carousel Productions
21,11602,Vision View Entertainment
22,29812,Telescene Film Group Productions
23,2883,Aniplex
24,7759,GoHands
25,7760,BROSTA TV
26,7761,Mardock Scramble Production Committee
27,33751,Sentai Filmworks
28,17161,Odyssey Media
29,18012,Pulser Productions
30,18013,Rogue State
31,23822,The Cartel
